transaction_id,bank,reference,amount,currency,payer_name,payer_account,receiver_name,receiver_account,transaction_date,transaction_status,reason,suffix,phone_number,is_fraud,attack_type
TX-005452,cbe_birr,Z2T77N5IR9,159.44,ETB,Nardos Lemma,251705610433,Assefa Negussie,251734312870,2025-01-06T17:33:45+03:00,Completed,Online purchase,,251903621329,1,amount_tamper
TX-005568,dashen,394OPBMWGKTST47N,14400.0,ETB,Abebe Legesse,4292732206,Binyam Chala,7842076952,2026-04-28T22:41:06+03:00,Completed,Gift,,,1,temporal_anomaly
TX-005516,cbe,FT1TUHGR7URA,778.73,ETB,Feven Habte,P***8856,Birtukan Fikre,L***7444,2025-11-22T04:05:18+03:00,Completed,Medical payment,37498941,,1,temporal_anomaly
TX-005666,telebirr,CE8Y8XX98D,2272.08,ETB,Bethlehem Habte,251972775329,Assefa Desta,251965564414,2025-10-07T09:47:52+03:00,Success,Refund,,,1,temporal_anomaly
TX-005242,abyssinia,FTBASJXB43SM,11106.19,ETB,Redwan Worku,0022466676936,Mekonen Tesfaye,4594591436241,2026-03-09T12:19:20+03:00,Completed,Mobile top-up,50484,,1,fuzzing
TX-005215,telebirr,CEVU5P4MXB,500.0,ETB,Kebede Regassa,251952339199,Ruth Kiros,251977028748,2026-01-01T22:11:34+03:00,Successful,School fee,,,1,fuzzing
TX-005167,cbe,FTNN4IJH60XQ,154.88,ETB,Hiwot Tesfaye,F***1061,Abel Negash,Y***9439,2026-01-26T08:41:40+03:00,Successful,Medical payment,80403253,,1,fuzzing
TX-005586,dashen,9600TM0BCYKY2ES2,3138.27,ETB,Berhanu Abera,1294435400,Rahel Kebede,1748819096,2025-11-03T03:54:40+03:00,Successful,Insurance premium,,,1,temporal_anomaly
TX-005356,mpesa,YUYXHO5WLL,1576.33,ETB,Redwan Negash,251752243845,Meron Petros,251956655688,2025-10-06T02:26:19+03:00,Completed,Insurance premium,,,1,amount_tamper
TX-005619,cbe,FTN733U0YPZ0,15400.0,ETB,Leul Yimer,M***2458,Wubit Omer,A***1204,2024-04-18T22:41:06+03:00,Successful,Medical payment,69091237,,1,temporal_anomaly
TX-005967,cbe,FTEC7Y1FJ4,35700.0,ETB,Abigail Endale,Z***0002,Tesfaye Haile,H***1074,2025-09-04T11:47:29+03:00,Completed,Donation,03146224,,1,format_violation
TX-005968,abyssinia,CE98DLSCRYRC,4927.6,ETB,Marta Habte,0304198588623,Redwan Wolde,5763709272176,2025-05-14T09:16:08+03:00,Completed,Tax payment,43125,,1,format_violation
