transaction_id,bank,reference,amount,currency,payer_name,payer_account,receiver_name,receiver_account,transaction_date,transaction_status,reason,suffix,phone_number,is_fraud,attack_type
TX-004895,mpesa,9DA5KI320V,265.0,ETB,Tekle Tessema,251766565405,Liya Taye,251914009051,2025-10-27T14:11:57+03:00,Completed,Business transaction,,,0,none
TX-005134,telebirr,CEP1CCX4O1,3807.915448457675,ETB,Ermias Habte,251755647564,Fitsum Berhane,251793181312,2025-12-25T14:17:26+03:00,Completed,Tax payment,,,1,replay
TX-004475,cbe_birr,72SEKUL71B,3000.0,ETB,Meseret Lemma,251755884962,Mesfin Gebremariam,251991012147,2025-05-19T09:26:07+03:00,Completed,Gift,,251778799353,0,none
TX-003412,abyssinia,FT0DCU24CO5K,2600.0,ETB,Meron Tessema,4241700137324,Binyam Tesfaye,3805468367484,2026-01-20T08:34:20+03:00,Completed,Subscription fee,55864,,0,none
TX-003843,abyssinia,FTHIF96V00L2,718.72,ETB,Rediet Tessema,2140009730651,Dawit Gebre,3761908917758,2025-07-24T17:12:11+03:00,Completed,Donation,12210,,0,none
TX-004024,cbe_birr,10EBR2Z0PG,195.23,ETB,Assefa Worku,251921308121,Betelhem Endale,251973459482,2025-10-27T17:57:07+03:00,Success,Salary payment,,251979682656,0,none
TX-004703,mpesa,P54F6QO75R,271.02,ETB,Abel Weldemariam,251706048334,Yeshi Mekonnen,251784180601,2025-04-07T03:04:19+03:00,Successful,Online purchase,,,0,none
TX-000313,cbe,FTT2LWHEDHTH,4703.94,ETB,Assefa Gudeta,O***3997,Abebe Zewde,Y***6947,2025-10-28T15:32:18+03:00,Successful,Loan repayment,83548847,,0,none
TX-004236,cbe_birr,QWO76KASQA,235.56,ETB,Robel Lemma,251781742659,Daniel Regassa,251928803869,2025-01-10T08:51:30+03:00,Success,Utility bill,,251732149940,0,none
TX-004065,cbe_birr,C4UZTF0TGF,600.0,ETB,Sara Desta,251755597055,Hiwot Gudeta,251944731707,2025-03-11T12:07:23+03:00,Success,Insurance premium,,251988990887,0,none
TX-002956,dashen,334GMG55CT9DNGUJ,21300.0,ETB,Birtukan Taye,6845787429,Aster Tadesse,1481372932,2025-09-29T15:08:06+03:00,Processed,Tax payment,,,0,none
TX-005878,telebirr,FFPt1tBMl7j@wgS!g,1468.87,ETB,Mahlet Desta,251775181483,Tirunesh Lemma,251930182377,2025-07-10T12:23:25+03:00,Successful,Service payment,,,1,format_violation
TX-002433,telebirr,CEXTJHLOCG,219.21,ETB,Eyob Ahmed,251900315391,Alemu Gebremariam,251708063763,2025-02-03T17:57:01+03:00,Success,Insurance premium,,,0,none
TX-001194,cbe,FTU0ZQ3G0RRS,9267.95,ETB,Kebede Omer,A***8240,Liya Zeleke,Z***3513,2025-04-01T11:29:36+03:00,Completed,Payment for goods,82366162,,0,none
TX-001908,telebirr,CE2MD6T5Y7,224.29,ETB,Daniel Mekonnen,251929757034,Getachew Zeleke,251718148543,2026-03-30T15:41:17+03:00,Successful,Rent payment,,,0,none
TX-000160,cbe,FTMXLVZ4QKE2,2006.16,ETB,Amanuel Gebremariam,E***5472,Konjit Kebede,W***8422,2026-02-04T10:10:15+03:00,Completed,Payment for goods,59274523,,0,none
TX-004288,cbe_birr,U9F645HZI8,600.0,ETB,Saron Ayele,251903400556,Getachew Ahmed,251779199931,2025-02-14T11:26:02+03:00,Completed,Loan repayment,,251732081782,0,none
TX-003825,abyssinia,FTMIOJTC8BT0,1667.93,ETB,Hanna Diriba,4948769317098,Birtukan Gudeta,4453234873350,2026-03-12T12:44:03+03:00,Successful,Donation,98699,,0,none
TX-001054,cbe,FTDS7KVK1XV1,2385.08,ETB,Aster Worku,F***8113,Sara Ayele,E***4479,2026-01-24T17:29:47+03:00,Completed,Loan repayment,48940094,,0,none
TX-005221,dashen,G77MNQLX6DWG61QY,2126.93,ETB,Helen Haile,7263106815,Hagos Zewde,4445237646,2025-09-22T17:31:07+03:00,Completed,Insurance premium,,,1,fuzzing
TX-004010,cbe_birr,C6D25SUZIF,143.91,ETB,Natnael Diriba,251750702074,Petros Omer,251982918382,2025-07-31T11:49:27+03:00,Completed,Mobile top-up,,251912991769,0,none
TX-004801,mpesa,OV239QVCD7,200.0,ETB,Bekele Kebede,251912220678,Assefa Yilma,251963557309,2025-06-02T08:43:04+03:00,Completed,Subscription fee,,,0,none
TX-004908,mpesa,A9HSZVHV9D,800.0,ETB,Firehiwot Haile,251949584571,Marta Gebre,251739570088,2025-05-08T03:19:44+03:00,Completed,Medical payment,,,0,none
TX-000867,cbe,FTDQJ3SXGTT0,4800.9,ETB,Amanuel Omer,O***9359,Konjit Chala,V***5843,2025-09-15T17:37:37+03:00,Completed,School fee,52019306,,0,none
TX-002506,dashen,206DG2JPAO5D08TE,1100.0,ETB,Kaleb Gudeta,8781102527,Dawit Legesse,1226061424,2025-05-29T09:18:21+03:00,Processed,Subscription fee,,,0,none
TX-004859,mpesa,6Q7KHYVJ71,945.41,ETB,Mikael Ayele,251742296229,Fitsum Lemma,251704959756,2026-01-09T12:54:02+03:00,Successful,Transfer,,,0,none
TX-000727,cbe,FT6K33UFEVST,8108.68,ETB,Firehiwot Gudeta,O***3677,Sisay Zewde,J***3435,2026-02-16T15:33:31+03:00,Successful,Insurance premium,71564380,,0,none
TX-003736,abyssinia,FTJK1Z7NXL3J,936.27,ETB,Meron Ahmed,4334338976098,Hailu Gebre,9775217526668,2025-06-20T11:36:09+03:00,Successful,Insurance premium,87218,,0,none
TX-002183,telebirr,CEAPKOM0UQ,995.92,ETB,Wondwosen Bogale,251978917710,Tirunesh Bogale,251903786411,2025-09-16T15:17:30+03:00,Completed,Service payment,,,0,none
TX-005232,cbe,FTL8J5EUO4VK,3049.49,ETB,Sisay Desta,E***9317,Nardos Negussie,Q***6503,2025-09-28T15:23:53+03:00,Completed,Savings deposit,57779174,,1,fuzzing
TX-003146,dashen,611Q9EIDNTZ3425X,600.0,ETB,Mahlet Legesse,9116540776,Tesfaye Fikre,4493303923,2025-03-05T02:28:23+03:00,Completed,Tax payment,,,0,none
TX-003795,abyssinia,FTHXXHEB3B3Z,19411.36,ETB,Lidya Taye,0974532314563,Feven Chala,7088183216993,2025-08-05T04:37:32+03:00,Completed,Refund,44105,,0,none
TX-004108,cbe_birr,8LYDUMYVFM,800.0,ETB,Fisseha Bekele,251773869526,Dewi Girmay,251978030762,2026-03-16T16:06:37+03:00,Success,Salary payment,,251994432099,0,none
TX-003852,abyssinia,FTHASUASMOMN,12000.0,ETB,Amanuel Legesse,2634224037927,Mekonen Chala,3424513932808,2025-07-14T14:22:58+03:00,Successful,Business transaction,23858,,0,none
TX-002023,telebirr,CEYXEDK0I0,629.16,ETB,Olana Ferede,251955728768,Fitsum Bogale,251981628261,2026-01-20T14:09:16+03:00,Completed,Gift,,,0,none
TX-005348,mpesa,UT6VB6AP3K,85.23,ETB,Dewi Endale,251968494064,Berhanu Endale,251977262509,2026-01-12T18:15:36+03:00,Completed,Refund,,,1,amount_tamper
TX-002234,telebirr,CE4R40FPJU,188.39,ETB,Kidist Eshetu,251998287048,Leul Yimer,251793897872,2026-03-13T12:06:38+03:00,Success,Investment,,,0,none
TX-002663,dashen,672ZPE1BLHHVH8RK,500.0,ETB,Eleni Seyoum,8466133926,Alemu Regassa,9183789526,2025-05-14T13:42:16+03:00,Successful,School fee,,,0,none
TX-001907,telebirr,CEMJKHWUI3,418.65,ETB,Biruk Mohammed,251999263370,Olana Haile,251711391222,2025-07-29T13:06:22+03:00,Successful,Loan repayment,,,0,none
TX-004159,cbe_birr,AW7DQG2D7P,253.64,ETB,Samuel Ferede,251995820388,Tigist Diriba,251742760629,2025-01-14T13:09:52+03:00,Success,Salary payment,,251962484990,0,none
TX-000534,cbe,FTY7W29MAX6E,800.0,ETB,Yohannes Zewde,N***6001,Mesfin Taye,H***8271,2025-01-15T23:58:11+03:00,Completed,Utility bill,96151204,,0,none
TX-003462,abyssinia,FTYRV65AGDX7,21963.46,ETB,Wondwosen Umer,3955179035684,Tekle Ayele,9340127799853,2025-08-18T08:12:00+03:00,Completed,Payment for goods,13970,,0,none
TX-001916,telebirr,CE2MS5JWJS,459.05,ETB,Kidist Gebre,251992771400,Wubit Berhane,251740879817,2025-04-23T16:21:28+03:00,Successful,Savings deposit,,,0,none
TX-000657,cbe,FT6KF5O2UXXK,677.98,ETB,Mulugeta Yimer,F***8467,Sisay Gudeta,A***0734,2025-03-24T19:48:12+03:00,Successful,Service payment,37295450,,0,none
TX-003310,dashen,063B0M5VC7AV3P3O,2400.0,ETB,Birtukan Chala,2046052989,Hiwot Chala,3929212533,2025-02-19T22:57:28+03:00,Processed,Online purchase,,,0,none
TX-001576,telebirr,CEQ7NCR26U,3100.0,ETB,Alemu Ibrahim,251993581514,Fisseha Seyoum,251794004896,2025-06-09T12:24:36+03:00,Success,Loan repayment,,,0,none
TX-005490,mpesa,M31LTOBF8O,240.31,ETB,Redwan Negash,251976874764,Yared Seyoum,251948752333,2026-04-01T09:06:42+03:00,Completed,Insurance premium,,,1,amount_tamper
TX-004907,mpesa,3HY5SESSA1,2013.8,ETB,Mekonen Ayele,251774925443,Girma Haile,251742622115,2025-07-25T11:10:48+03:00,Completed,Salary payment,,,0,none
TX-004243,cbe_birr,CR1HB0809T,512.8,ETB,Dewi Seyoum,251736949044,Rahel Petros,251792747752,2026-01-07T12:28:07+03:00,Success,Payment for goods,,251752302961,0,none
TX-003781,abyssinia,FTZQCXLBLPQK,4968.7,ETB,Dewi Tadesse,2305731657543,Yared Habte,4705347508838,2025-07-20T17:40:55+03:00,Successful,School fee,13079,,0,none
TX-003071,dashen,332S7EFFP30V5AC4,500.0,ETB,Olana Girmay,6808730538,Berhanu Ayele,9032799462,2025-10-27T14:13:59+03:00,Completed,Business transaction,,,0,none
TX-001374,telebirr,CEBPJ4TT85,729.86,ETB,Ruth Weldemariam,251701391938,Mahlet Gebremariam,251741420134,2026-02-03T17:54:19+03:00,Completed,Donation,,,0,none
TX-003535,abyssinia,FTG0450PEPUM,6268.28,ETB,Marta Gebre,7688532903861,Fisseha Girmay,4062956545265,2025-03-26T14:03:33+03:00,Successful,Investment,02347,,0,none
TX-004428,cbe_birr,WRGKLSWZNY,154.1,ETB,Seyoum Kebede,251914882689,Natnael Regassa,251918786426,2026-02-13T07:23:33+03:00,Success,Mobile top-up,,251727347249,0,none
TX-004656,mpesa,VB6II725EI,175.88,ETB,Hanna Tessema,251781101574,Chaltu Tesfaye,251930021716,2025-01-28T13:09:09+03:00,Successful,Refund,,,0,none
TX-001490,telebirr,CEIHNUXG5S,917.88,ETB,Yeshi Eshetu,251934455329,Wondwosen Omer,251737594283,2025-02-12T16:42:25+03:00,Completed,Mobile top-up,,,0,none
TX-004746,mpesa,4RZEPLXHK9,200.0,ETB,Solomon Bogale,251975712786,Hagos Mekonnen,251755212166,2026-01-12T18:32:42+03:00,Successful,Utility bill,,,0,none
TX-005209,telebirr,CEDR2FP95D,4491.12,ETB,Dewi Mekonnen,251967895379,Teshome Seyoum,251963968248,2025-02-05T20:54:11+03:00,Successful,Tax payment,,,1,fuzzing
TX-000025,cbe,FTNE6LOH25NS,2854.58,ETB,Bezawit Berhane,X***5171,Teshome Worku,V***6851,2026-01-12T16:07:29+03:00,Successful,Loan repayment,96513709,,0,none
TX-000848,cbe,FTTVEZLBUXKZ,382.8,ETB,Petros Yimer,W***3558,Hanna Wolde,B***8227,2025-07-28T15:49:53+03:00,Successful,Tax payment,74592541,,0,none
TX-004290,cbe_birr,GY6DYV7Q32,1015.97,ETB,Marta Wolde,251737193100,Binyam Hassen,251703442566,2025-05-23T12:46:16+03:00,Completed,Refund,,251764912056,0,none
TX-000664,cbe,FTRPK404C5CJ,2329.6,ETB,Ruth Yilma,R***7890,Daniel Hassen,J***5029,2025-05-31T14:03:15+03:00,Completed,Loan repayment,09346754,,0,none
TX-004423,cbe_birr,RXTIZV6N0A,600.0,ETB,Dawit Fikre,251738899653,Getachew Bogale,251938388760,2026-02-23T19:23:18+03:00,Completed,Mobile top-up,,251773037938,0,none
TX-003238,dashen,734EZ7MDDD0QO20T,4100.0,ETB,Hagos Tesfaye,0832864214,Zewditu Seyoum,3639517563,2026-01-02T20:01:09+03:00,Completed,Utility bill,,,0,none
TX-004413,cbe_birr,XZ8PB1TR0M,6687.83,ETB,Eden Omer,251797089528,Aster Habte,251789671854,2025-06-08T17:45:32+03:00,Success,Subscription fee,,251724646409,0,none
TX-000933,cbe,FTOPZ2LNTJYI,5944.62,ETB,Tirunesh Girmay,E***3918,Birtukan Kiros,V***7622,2025-08-14T11:53:15+03:00,Successful,Transfer,62016633,,0,none
TX-005860,telebirr,FTHT61UCQZ,788.92,ETB,Ermias Umer,251958711926,Meron Kebede,251956208960,2026-02-02T15:34:09+03:00,Completed,Utility bill,,,1,format_violation
TX-001583,telebirr,CE5802U2S4,1204.33,ETB,Kebede Endale,251766884331,Rahel Eshetu,251998338127,2025-03-08T08:06:54+03:00,Completed,Insurance premium,,,0,none
